,dates,close
0,2022-08-01,1805.2596
1,2022-08-02,1803.3466
2,2022-08-03,1795.7616
3,2022-08-04,1779.1654
4,2022-08-05,1763.5171
5,2022-08-08,1728.2649
6,2022-08-09,1717.6224
7,2022-08-10,1717.786
8,2022-08-11,1713.3022
9,2022-08-12,1708.1251
10,2022-08-15,1704.0145
11,2022-08-16,1694.3342
12,2022-08-17,1683.5581
13,2022-08-18,1686.3726
14,2022-08-19,1686.0631
15,2022-08-22,1677.8364
16,2022-08-23,1678.736
17,2022-08-24,1700.7554
18,2022-08-25,1700.2981
19,2022-08-26,1695.7985
20,2022-08-29,1702.0105
21,2022-08-30,1714.0354
